,,Sherbrooke (Census Metropolitan Area)  Quebec,,,,,,Prairie Mountain Health (2013 Health Region)  Manitoba
Topic,Characteristics,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Effectiveness,30-day obstetric readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day readmission - patients age 19 and younger (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day surgical readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day medical readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,Potentially avoidable mortality (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,Avoidable mortality from preventable causes (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,Avoidable mortality from treatable causes (per 100000 population),,..,,..,,..,,..,,..,,..
Continuity,30-day readmission rate for mental illness (%),,..,,..,,..,,..,,..,,..
Safety,Hospitalized hip fracture event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Environmental Factors,Second-hand smoke; exposure at home (%),6.5,E,5,E,7.6,E,5.2,,6.9,E,3.7,E
Environmental Factors,Second-hand smoke; exposure in vehicles and/or public places (%),12.7,,12.4,E,12.9,E,16.4,,20.4,,12.7,E
Deaths,Infant mortality (per 1000 live births),,..,,..,,..,,..,,..,,..
Deaths,Life expectancy at birth (years),,..,,..,,..,,..,,..,,..
Deaths,Life expectancy at age 65 (years),,..,,..,,..,,..,,..,,..
Deaths,Total; all causes of death (per 100000 population),528.1,,672.8,,430.2,,,..,,..,,..
Deaths,  All cancers; deaths (per 100000 population),181.2,,243.7,,141.2,,,..,,..,,..
Deaths,    Colorectal cancer; deaths (per 100000 population),23.3,,28.8,,19.9,,,..,,..,,..
Deaths,    Lung cancer; deaths (per 100000 population),53.1,,79.4,,35.4,,,..,,..,,..
Deaths,    Breast cancer; deaths (per 100000 population),,...,,...,17.2,,,..,,..,,..
Deaths,    Prostate cancer; deaths (per 100000 population),,...,21.1,,,...,,..,,..,,..
Deaths,  Circulatory diseases; deaths (per 100000 population),132.3,,161.5,,111.7,,,..,,..,,..
Deaths,    Ischaemic heart diseases; deaths (per 100000 population),73.4,,98.1,,55.5,,,..,,..,,..
Deaths,    Cerebrovascular diseases; deaths (per 100000 population),21.6,,22.2,,21.3,,,..,,..,,..
Deaths,    All other circulatory diseases; deaths (per 100000 population),37.2,,41.2,,35,,,..,,..,,..
Deaths,  Respiratory diseases; deaths (per 100000 population),38.8,,55.6,,31,,,..,,..,,..
Deaths,    Pneumonia and influenza; deaths (per 100000 population),7.8,,,x,,x,,..,,..,,..
Deaths,    Bronchitis; emphysema and asthma; deaths (per 100000 population),1.4,,,x,,x,,..,,..,,..
Deaths,    All other respiratory diseases; deaths (per 100000 population),29.6,,44.3,,22.7,,,..,,..,,..
Deaths,  Unintentional injuries; deaths (per 100000 population),21,,26.9,,16.3,,,..,,..,,..
Deaths,  Suicides and self-inflicted injuries; deaths (per 100000 population),16,,24.6,,7.5,,,..,,..,,..
Deaths,  Human immunodeficiency virus [HIV] disease; deaths (per 100000 population),1,,,x,,x,,..,,..,,..
Deaths,Premature mortality (per 100000 population),,..,,..,,..,,..,,..,,..
Personal Resources,Sense of community belonging (%),58,,55.9,,59.8,,75.8,,77.0,,74.7,
Personal Resources,Life satisfaction; satisfied or very satisfied (%),93.8,,94.6,,93.1,,91.7,,92.1,,91.3,
Living and Working Conditions,High school graduates aged 25 to 29 (%),87.3,,85.2,,89.4,,82.3,,79.0,,85.7,
Living and Working Conditions,Post-secondary graduates aged 25 to 54 (%),71.3,,69.1,,73.4,,54.7,,49.1,,60.0,
Living and Working Conditions,Unemployment (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Youth unemployment; aged 15 to 24 (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Long-term unemployment (%),3.6,,4,,3.2,,2.8,,3.0,,2.7,
Living and Working Conditions,Low income (%),16.2,,15.2,,17.2,,12.0,,10.4,,13.5,
Living and Working Conditions,Children aged 17 and under living in low income families (%),13,,12.7,,13.4,,14.4,,12.5,,16.3,
Community,Total population (%),100,,100,,100,,100.0,,100.0,,100.0,
Community,Large urban population centre population (%),69.7,,68.9,,70.4,,0.0,,0.0,,0.0,
Community,Medium population centre population (%),0,,0,,0,,28.6,,27.9,,29.2,
Community,Small population centre population (%),10,,9.8,,10.2,,22.0,,21.2,,22.7,
Community,Rural area population (%),20.3,,21.3,,19.4,,49.5,,51.0,,48.1,
Community,Population density (persons per km<sup>2</sup>),138.32,,,...,,...,2.49,,,...,,...
Community,Dependency ratio (%),,..,,..,,..,,..,,..,,..
Community,Youth; under 20 years; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Seniors; 65 years and over; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Aboriginal population (%),0.9,,1,,0.8,,15.9,,15.2,,16.6,
Community,Immigrant population (%),6.2,,6.5,,5.9,,7.1,,7.2,,7.1,
Community,1 year internal migrants (%),3.8,,3.9,,3.8,,5.1,,5.3,,4.9,
Community,5 year internal migrants (%),13.4,,13.7,,13.2,,15.5,,15.7,,15.4,
Community,Population living within a Metropolitan Influenced Zone (%),100,,100,,100,,34.6,,34.2,,35.0,
Community,Lone-parent families (%),16,,4.2,,11.8,,14.5,,3.2,,11.3,
Community,Visible minority population (%),4.4,,4.7,,4.1,,4.6,,5.3,,3.9,
Health System,Contact with a medical doctor in the past 12 months (%),,..,,..,,..,82.7,,78.8,,86.5,
Health System,Coronary artery bypass graft (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Percutaneous coronary intervention (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Cardiac revascularization (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hip replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Knee replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hysterectomy (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Inflow/outflow ratio - Overall (ratio),,..,,..,,..,,..,,..,,..
Health System,Mental illness hospitalization rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Mental illness patient days (per 10000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - General/family physicians (per 100000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - Specialist physicians (per 100000 population),,..,,..,,..,,..,,..,,..

Data quality symbols
.    Not available for any reference period
..   Not available for a specific reference period
...  Not applicable
E    Use with caution
F    Too unreliable to be published
x    Suppressed to meet the confidentiality requirements of the Statistics Act

Source: Statistics Canada.

How to cite: Statistics Canada. 2013. Health Profile.
Statistics Canada Catalogue no. 82-228-XWE. Ottawa. Released December 12 2013.
http://www12.statcan.gc.ca/health-sante/82-228/index.cfm?Lang=E
